Designator,Mid X,Mid Y,Rotation,Layer
_7,240.998632,-116.993761,0.0,top
_6,241.000008,-36.999093,0.0,top
_5,104.000847,-36.996734,0.0,top
_4,104.002943,-117.000837,0.0,top
_3,195.326,-64.008,0.0,top
_2,235.204,-49.53,0.0,top
,213.36,-64.008,0.0,top
C1,235.384369,-45.212,180.0,top
C2,239.087631,-45.212,0.0,top
J1,136.906,-109.474,270.0,top
J2,146.29,-83.13,0.0,top
J3,163.83,-40.697,90.0,top
J4,171.45,-50.847,180.0,top
J5,213.36,-50.292,0.0,top
Q1,159.766,-72.644,90.0,top
Q10,165.34,-118.364,90.0,top
Q2,165.34,-79.248,90.0,top
Q3,159.766,-82.423,90.0,top
Q4,165.34,-89.027,90.0,top
Q5,159.766,-92.202,90.0,top
Q6,165.34,-98.806,90.0,top
Q7,159.766,-101.981,90.0,top
Q8,165.34,-108.585,90.0,top
Q9,159.766,-111.76,90.0,top
R1,169.164,-70.104,0.0,top
R10,169.164,-115.824,0.0,top
R11,140.108,-84.162,90.0,top
R12,134.284,-84.172,90.0,top
R13,128.46,-84.172,90.0,top
R14,122.636,-84.372,90.0,top
R15,116.812,-84.572,90.0,top
R16,110.993,-84.572,90.0,top
R17,137.663,-96.764,270.0,top
R18,131.821,-96.764,270.0,top
R19,125.979,-96.764,270.0,top
R2,169.164,-76.708,0.0,top
R20,120.137,-96.764,270.0,top
R21,114.295,-96.764,270.0,top
R22,108.453,-96.764,270.0,top
R23,184.15,-48.26,180.0,top
R24,184.15,-45.72,180.0,top
R25,184.15,-43.18,180.0,top
R26,184.15,-40.64,180.0,top
R3,169.164,-81.28,0.0,top
R4,169.164,-86.487,0.0,top
R5,169.164,-90.45222,0.0,top
R6,169.164,-96.266,0.0,top
R7,169.164,-100.62633,0.0,top
R8,169.164,-106.045,0.0,top
R9,169.164,-110.80044,0.0,top
U1,213.083,-74.515,0.0,top
U10,122.682,-86.868,270.0,top
U11,116.84,-86.868,270.0,top
U12,110.998,-86.868,270.0,top
U2,190.5,-39.37,0.0,top
U3,190.5,-67.605,0.0,top
U4,190.51,-95.84,0.0,top
U5,235.204,-56.134,270.0,bottom
U6,119.804,-58.922,0.0,top
U7,140.208,-86.868,270.0,top
U8,134.366,-86.868,270.0,top
U9,128.524,-86.868,270.0,top
